Date,Price
2024-05-03,3199.33
2024-05-04,3199.89
2024-05-05,3210.82
2024-05-06,3214.92
2024-05-07,3174.72
2024-05-08,3161.87
2024-05-09,3174.64
2024-05-10,3195.34
2024-05-11,3229.51
2024-05-12,3234.65
2024-05-13,3209.71
2024-05-14,3173.89
2024-05-15,3198.04
2024-05-16,3203.45
2024-05-17,3207.62
2024-05-18,3232.61
2024-05-19,3203.41
2024-05-20,3216.47
2024-05-21,3200.85
2024-05-22,3201.29
2024-05-23,3210.52
2024-05-24,3188.79
2024-05-25,3231.0
2024-05-26,3234.38
2024-05-27,3205.42
2024-05-28,3194.2
2024-05-29,3180.64
2024-05-30,3198.86
2024-05-31,3213.92
2024-06-01,3198.26
2024-06-02,3200.65
2024-06-03,3200.54
2024-06-04,3202.6
2024-06-05,3183.93
2024-06-06,3172.19
2024-06-07,3214.18
2024-06-08,3208.83
2024-06-09,3235.61
2024-06-10,3208.72
2024-06-11,3213.24
2024-06-12,3193.81
2024-06-13,3177.65
2024-06-14,3211.34
2024-06-15,3190.75
2024-06-16,3218.32
2024-06-17,3218.46
2024-06-18,3207.36
2024-06-19,3185.91
2024-06-20,3187.79
2024-06-21,3207.15
2024-06-22,3223.35
2024-06-23,3214.81
2024-06-24,3199.68
2024-06-25,3211.59
2024-06-26,3172.69
2024-06-27,3185.63
2024-06-28,3196.38
2024-06-29,3231.27
2024-06-30,3209.52
2024-07-01,3175.26
2024-07-02,3148.88
2024-07-03,3151.35
2024-07-04,3159.88
2024-07-05,3153.27
2024-07-06,3183.32
2024-07-07,3206.04
2024-07-08,3161.49
2024-07-09,3165.27
2024-07-10,3148.55
2024-07-11,3143.55
2024-07-12,3166.38
2024-07-13,3203.22
2024-07-14,3178.86
2024-07-15,3188.51
2024-07-16,3180.58
2024-07-17,3160.98
2024-07-18,3172.81
2024-07-19,3202.69
2024-07-20,3157.06
2024-07-21,3158.32
2024-07-22,3201.84
2024-07-23,3171.45
2024-07-24,3148.07
2024-07-25,3151.29
2024-07-26,3203.49
2024-07-27,3183.49
2024-07-28,3188.62
2024-07-29,3169.42
2024-07-30,3191.71
2024-07-31,3147.47
2024-08-01,3172.12
2024-08-02,3234.31
2024-08-03,3206.44
2024-08-04,3221.07
2024-08-05,3213.39
2024-08-06,3210.38
2024-08-07,3186.42
2024-08-08,3185.3
2024-08-09,3202.36
2024-08-10,3209.6
2024-08-11,3188.67
2024-08-12,3224.19
2024-08-13,3180.13
2024-08-14,3167.69
2024-08-15,3173.37
2024-08-16,3197.98
2024-08-17,3235.31
2024-08-18,3227.33
2024-08-19,3219.14
2024-08-20,3206.56
2024-08-21,3196.32
2024-08-22,3170.12
2024-08-23,3202.33
2024-08-24,3181.86
2024-08-25,3212.5
2024-08-26,3212.93
2024-08-27,3205.16
2024-08-28,3173.46
2024-08-29,3186.93
2024-08-30,3179.3
2024-08-31,3216.74
2024-09-01,3250.31
2024-09-02,3249.0
2024-09-03,3209.97
2024-09-04,3199.55
2024-09-05,3208.69
2024-09-06,3241.16
2024-09-07,3260.09
2024-09-08,3249.89
2024-09-09,3244.43
2024-09-10,3216.39
2024-09-11,3214.56
2024-09-12,3181.04
2024-09-13,3206.35
2024-09-14,3226.27
2024-09-15,3237.0
2024-09-16,3235.39
2024-09-17,3251.83
2024-09-18,3211.18
2024-09-19,3224.53
2024-09-20,3211.1
2024-09-21,3222.52
2024-09-22,3257.81
2024-09-23,3249.33
2024-09-24,3251.41
2024-09-25,3181.23
2024-09-26,3223.5
2024-09-27,3223.41
2024-09-28,3240.81
2024-09-29,3219.79
2024-09-30,3228.46
2024-10-01,3190.8
2024-10-02,3164.38
2024-10-03,3191.57
2024-10-04,3201.06
2024-10-05,3204.75
2024-10-06,3241.27
2024-10-07,3205.35
2024-10-08,3191.82
2024-10-09,3185.44
2024-10-10,3177.35
2024-10-11,3232.19
2024-10-12,3214.1
2024-10-13,3207.35
2024-10-14,3212.88
2024-10-15,3201.12
2024-10-16,3174.09
2024-10-17,3203.64
2024-10-18,3171.05
2024-10-19,3200.24
2024-10-20,3209.66
2024-10-21,3206.47
2024-10-22,3179.78
2024-10-23,3156.22
2024-10-24,3183.28
2024-10-25,3190.48
2024-10-26,3208.24
2024-10-27,3201.77
2024-10-28,3208.92
2024-10-29,3196.06
2024-10-30,3177.07
2024-10-31,3177.72
2024-11-01,3196.3
2024-11-02,3209.51
2024-11-03,3221.14
2024-11-04,3224.14
2024-11-05,3185.11
2024-11-06,3181.26
2024-11-07,3193.43
2024-11-08,3202.82
2024-11-09,3225.09
2024-11-10,3195.13
2024-11-11,3188.57
2024-11-12,3197.98
2024-11-13,3208.33
2024-11-14,3182.58
2024-11-15,3191.17
2024-11-16,3200.56
2024-11-17,3205.31
2024-11-18,3173.58
2024-11-19,3188.77
2024-11-20,3200.42
2024-11-21,3189.36
2024-11-22,3207.46
2024-11-23,3226.07
2024-11-24,3218.54
2024-11-25,3205.85
2024-11-26,3192.86
2024-11-27,3172.45
2024-11-28,3153.5
2024-11-29,3224.61
2024-11-30,3219.13
2024-12-01,3214.94
2024-12-02,3195.87
2024-12-03,3198.03
2024-12-04,3151.58
2024-12-05,3154.64
2024-12-06,3199.52
2024-12-07,3222.09
2024-12-08,3205.23
2024-12-09,3206.43
2024-12-10,3170.28
2024-12-11,3163.71
2024-12-12,3181.39
2024-12-13,3219.58
2024-12-14,3204.65
2024-12-15,3246.48
2024-12-16,3181.0
2024-12-17,3191.05
2024-12-18,3183.74
2024-12-19,3172.17
2024-12-20,3174.55
2024-12-21,3235.95
2024-12-22,3231.57
2024-12-23,3193.8
2024-12-24,3177.41
2024-12-25,3209.73
2024-12-26,3172.06
2024-12-27,3175.01
2024-12-28,3220.71
2024-12-29,3239.16
2024-12-30,3175.15
2024-12-31,3179.66
2025-01-01,3210.81
2025-01-02,3208.21
2025-01-03,3213.89
2025-01-04,3225.67
2025-01-05,3207.66
2025-01-06,3202.23
2025-01-07,3198.23
2025-01-08,3181.29
2025-01-09,3171.33
2025-01-10,3211.45
2025-01-11,3228.68
2025-01-12,3224.9
2025-01-13,3192.8
2025-01-14,3167.39
2025-01-15,3164.72
2025-01-16,3155.54
2025-01-17,3213.95
2025-01-18,3218.5
2025-01-19,3227.75
2025-01-20,3221.59
2025-01-21,3203.16
2025-01-22,3170.95
2025-01-23,3187.11
2025-01-24,3174.32
2025-01-25,3184.41
2025-01-26,3230.14
2025-01-27,3198.93
2025-01-28,3181.15
2025-01-29,3151.8
2025-01-30,3154.74
2025-01-31,3217.2
2025-02-01,3218.74
2025-02-02,3192.37
2025-02-03,3198.78
2025-02-04,3194.17
2025-02-05,3175.67
2025-02-06,3185.71
2025-02-07,3192.29
2025-02-08,3198.6
2025-02-09,3187.38
2025-02-10,3203.42
2025-02-11,3187.77
2025-02-12,3170.84
2025-02-13,3174.5
2025-02-14,3205.43
2025-02-15,3221.99
2025-02-16,3241.33
2025-02-17,3183.07
2025-02-18,3172.24
2025-02-19,3162.0
2025-02-20,3209.51
